,GOterm
tbl1x,GO:0051052
tmprss2,GO:0051052
xpnpep1,GO:0051052
mmp23b,GO:0051052
mbtps1,GO:0051052
cpne1,GO:0051052
endou,GO:0051052
tmprss11d,GO:0051052
dpp3,GO:0051052
cpq,GO:0051052
pitrm1,GO:0051052
malt1,GO:0051052
afg3l2,GO:0051052
adamts13,GO:0051052
capn10,GO:0051052
atg4b,GO:0051052
bace1,GO:0051052
htra2,GO:0051052
htra2,GO:0051052
prss50,GO:0051052
klk14,GO:0051052
klk12,GO:0051052
amz2,GO:0051052
ufsp2,GO:0051052
parl,GO:0051052
tasp1,GO:0051052
adamts9,GO:0051052
rnpepl1,GO:0051052
spcs3,GO:0051052
pappa2,GO:0051052
tmprss5,GO:0051052
cndp1,GO:0051052
c9orf3,GO:0051052
atg4c,GO:0051052
htra3,GO:0051052
lactb,GO:0051052
atg4a,GO:0051052
psmb11,GO:0051052
trabd2a,GO:0051052
pm20d2,GO:0051052
amz1,GO:0051052
tmprss6,GO:0051052
htra4,GO:0051052
tysnd1,GO:0051052
prss33,GO:0051052
trabd2b,GO:0051052
prss57,GO:0051052
astl,GO:0051052
mocs1,GO:0051252
mocs2,GO:0051252
mocs3,GO:0051252
pcsk6,GO:0006521
erp44,GO:0006521
st6galnac6,GO:0006521
st8sia3,GO:0006521
st6galnac3,GO:0006521
siah1,GO:0010967
uchl3,GO:0010967
trim24,GO:0010967
lrsam1,GO:0010967
parp1,GO:0033241
tnfsf15,GO:0042069
npc1l1,GO:0006417
apoe,GO:0043456
psen1,GO:0043456
tmcc2,GO:0043456
ncstn,GO:0043456
ldlrap1,GO:0043456
aph1a,GO:0043456
psenen,GO:0043456
lta4h,GO:1902003
l2hgdh,GO:1902003
pparg,GO:1904714
sorl1,GO:2000303
tspan5,GO:2000303
tspan15,GO:2000303
tesc,GO:2000303
tspan14,GO:2000303
tspan33,GO:2000303
ern1,GO:2000752
ide,GO:2000752
app,GO:2000754
fkbp1a,GO:2000754
gsn,GO:2000754
mapt,GO:2000754
mdm2,GO:2000754
ripk1,GO:2000754
ripk3,GO:2000754
tyw5,GO:0045019
mtr,GO:0045429
abcd4,GO:0045429
mmachc,GO:0045429
mmachc,GO:0045429
mmadhc,GO:0045429
gphn,GO:0051248
gphn,GO:0051248
ggact,GO:0090155
gcnt1,GO:1900126
st3gal2,GO:1900126
st3gal4,GO:1900126
tnip1,GO:1900126
a4gnt,GO:1900126
golph3,GO:1900126
il17f,GO:1904406
nod1,GO:1904985
inha,GO:0051247
inhba,GO:0051247
selenos,GO:0090154
apoa2,GO:1900127
apoc1,GO:1900127
apoc3,GO:1900127
cidea,GO:1900127
il1b,GO:1900127
ins,GO:1900127
pde3b,GO:1900127
tnf,GO:1900127
apoa2,GO:1904407
angptl3,GO:1904407
apoa5,GO:1904407
atm,GO:2000611
bok,GO:2000611
hmgb1,GO:2000611
rab8a,GO:2000611
prkn,GO:2000611
pik3r2,GO:2000611
pip4k2a,GO:2000611
pip4k2b,GO:2000611
usp13,GO:2000611
usp10,GO:2000611
depp1,GO:2000611
usp33,GO:2000611
fbxl2,GO:2000611
lamp3,GO:2000611
rmc1,GO:2000611
wdr41,GO:2000611
dram1,GO:2000611
pip4k2c,GO:2000611
kat8,GO:2000611
wdr24,GO:2000611
rab39b,GO:2000611
lrrk2,GO:2000611
dram2,GO:2000611
smcr8,GO:2000611
c9orf72,GO:2000611
cisd2,GO:2000611
lonp2,GO:2001247
tysnd1,GO:2001247
wdr91,GO:0030162
pgam1,GO:0032268
ogt,GO:0032268
prkag2,GO:0032268
akt1,GO:0042035
dap,GO:0042035
eif4g1,GO:0042035
eif4g2,GO:0042035
mtor,GO:0042035
golga2,GO:0042035
htr2b,GO:0042035
kif25,GO:0042035
lep,GO:0042035
lepr,GO:0042035
mcl1,GO:0042035
kdm4a,GO:0042035
rubcn,GO:0042035
rraga,GO:0042035
wdr6,GO:0042035
sirt2,GO:0042035
ptpn22,GO:0042035
lars,GO:0042035
rasip1,GO:0042035
tbc1d14,GO:0042035
mtmr9,GO:0042035
zkscan3,GO:0042035
cptp,GO:0042035
bmf,GO:0042035
mirlet7b,GO:0042035
apoc3,GO:0042176
akt1,GO:0045714
ins,GO:0046984
il10,GO:0050746
ptpn3,GO:0050746
timp1,GO:0050746
timp3,GO:0050746
cst3,GO:0060177
nell1,GO:1902991
rgp1,GO:1902991
atraid,GO:1902991
ric1,GO:1902991
cdk5rap3,GO:1902991
dab2ip,GO:1902991
hp,GO:1903018
supv3l1,GO:1903317
supv3l1,GO:1903317
pnpt1,GO:1903317
dapk1,GO:1905906
dcn,GO:1905906
foxo1,GO:1905906
ifng,GO:1905906
mefv,GO:1905906
prkaa1,GO:1905906
prkaa1,GO:1905906
prkd1,GO:1905906
trim21,GO:1905906
stk11,GO:1905906
tfeb,GO:1905906
tmem59,GO:1905906
optn,GO:1905906
trim22,GO:1905906
plk2,GO:1905906
mid2,GO:1905906
sh3bp4,GO:1905906
sh3glb1,GO:1905906
tpcn1,GO:1905906
plekhf1,GO:1905906
zc3h12a,GO:1905906
trim8,GO:1905906
mtdh,GO:1905906
tp53inp1,GO:1905906
lrrk2,GO:1905906
flcn,GO:1905906
trim65,GO:1905906
dhrsx,GO:1905906
rnf152,GO:1905906
svip,GO:1905906
irgm,GO:1905906
apoa4,GO:2000257
apoc2,GO:2000257
abhd5,GO:2000257
pnpla2,GO:2000257
apoa5,GO:2000257
akt2,GO:0106064
abcd2,GO:0106064
irs1,GO:0106064
twist1,GO:0106064
irs2,GO:0106064
adam8,GO:0033242
adra2a,GO:0033242
apoe,GO:0033242
gpld1,GO:0033242
ifng,GO:0033242
il1b,GO:0033242
nrdc,GO:0033242
tnf,GO:0033242
tnfrsf1b,GO:0033242
pacsin3,GO:0033242
snx9,GO:0033242
sh3d19,GO:0033242
snx33,GO:0033242
apoc2,GO:0045763
upf1,GO:0017148
khsrp,GO:0017148
cnot8,GO:0017148
cnot1,GO:0017148
cnot7,GO:0017148
zc3hav1,GO:0017148
prr5l,GO:0017148
zc3h12a,GO:0017148
pnpt1,GO:0017148
snca,GO:1900060
pttg1ip,GO:1902430
dact1,GO:1902430
dact1,GO:1902430
vps11,GO:1902430
uqcc2,GO:1902430
amer1,GO:1902430
zc3h12a,GO:1904715
pnpt1,GO:1904715
ptpn1,GO:0032074
itch,GO:0032074
dtx3l,GO:0032074
prkn,GO:0045980
prkn,GO:0045980
becn1,GO:0045980
fbxo7,GO:0045980
fis1,GO:0045980
pink1,GO:0045980
usp30,GO:0045980
usp30,GO:0045980
fundc1,GO:0045980
fundc1,GO:0045980
nbr1,GO:0051053
vcp,GO:0051053
ulk1,GO:0051053
sqstm1,GO:0051053
plaa,GO:0051053
tbc1d5,GO:0051053
atg7,GO:0051053
atg14,GO:0051053
ubqln1,GO:0051053
zfyve1,GO:0051053
yod1,GO:0051053
ubxn6,GO:0051053
map1lc3b,GO:0051053
map1lc3a,GO:0051053
tmem74,GO:0051053
map1lc3c,GO:0051053
acbd5,GO:0051253
smurf1,GO:0032269
cyp4f2,GO:0042036
cyp4f11,GO:0042036
pon1,GO:0042177
pon3,GO:0042177
sult1e1,GO:0045715
sult1a2,GO:0045715
sult1a1,GO:0045715
sult1a3,GO:0045715
sult2a1,GO:0045715
sult1c4,GO:0045715
sult1b1,GO:0045715
akr1c3,GO:0050748
akr1b10,GO:0050748
apoa4,GO:1902992
cat,GO:1902992
gpx1,GO:1902992
hba1,GO:1902992
hba2,GO:1902992
hbb,GO:1902992
mpo,GO:1902992
prdx1,GO:1902992
pxdn,GO:1902992
prdx3,GO:1902992
prdx3,GO:1902992
tet2,GO:1903019
ephx2,GO:1903318
pcsk9,GO:1905907
rnf43,GO:2000258
znrf3,GO:2000258
gprasp1,GO:0032075
gprasp1,GO:0032075
becn2,GO:0032075
becn2,GO:0032075
gldc,GO:0045981
aldh5a1,GO:0051054
aldh5a1,GO:0051054
chit1,GO:0051254
chia,GO:0051254
ada,GO:0045764
ada2,GO:0045764
dpyd,GO:0045915
dpys,GO:0045915
dpys,GO:0045915
ctsh,GO:1901307
ece1,GO:1901307
ide,GO:1901307
xpnpep1,GO:1901307
ece1,GO:0045727
idua,GO:1902004
qprt,GO:1904716
dao,GO:2000304
cyp1a2,GO:2000753
cyp2a6,GO:2000753
cyp2b6,GO:2000753
cyp2c19,GO:2000753
cyp2c8,GO:2000753
cyp2c9,GO:2000753
cyp2d7,GO:2000753
cyp3a4,GO:2000753
nr1i2,GO:2000753
nudt15,GO:2000753
hao1,GO:2000755
mthfs,GO:0032270
acat1,GO:0042108
ggt1,GO:0045716
ggt5,GO:0045716
ctsh,GO:0045732
faah,GO:0046985
apoa2,GO:0050747
enpp2,GO:0050747
pnliprp2,GO:0050747
angptl3,GO:0050747
mgst2,GO:1902993
dffb,GO:1903020
isg20,GO:1903319
supv3l1,GO:1903319
rnaset2,GO:1903319
rnaseh2a,GO:1903319
rnaseh2b,GO:1903319
rnaseh2c,GO:1903319
pnpt1,GO:1903319
ngly1,GO:1905908
neu4,GO:1905908
stt3b,GO:1905908
magea2,GO:2000259
prkn,GO:2000259
rnf5,GO:2000259
ube2g1,GO:2000259
ube2g2,GO:2000259
ripk1,GO:2000259
chek2,GO:2000259
htra2,GO:2000259
magec2,GO:2000259
dab2ip,GO:2000259
magea2b,GO:2000259
acat1,GO:0000050
mlycd,GO:0001694
miox,GO:0001695
abhd10,GO:0006685
neu2,GO:0006686
gba3,GO:0006686
agxt,GO:0032919
agxt2,GO:0032919
hoga1,GO:0032919
dao,GO:0046208
cyp2a6,GO:0008295
cel,GO:0032918
akr1d1,GO:0032918
cyp46a1,GO:0032918
srd5a3,GO:0046203
nedd4,GO:0006581
tgfb1,GO:0006581
uvrag,GO:0006581
becn1,GO:0006581
pik3r4,GO:0006581
sh3glb1,GO:0006581
kif16b,GO:0006581
smurf1,GO:0006581
snx25,GO:0006581
cyp1a2,GO:0008292
cyp3a4,GO:0008292
hsd17b14,GO:0008292
aldoa,GO:0019254
aldob,GO:0019254
pfkfb2,GO:0019254
pfkl,GO:0019254
pfkm,GO:0019254
pgam1,GO:0019254
pgam2,GO:0019254
pgk1,GO:0019254
pgam4,GO:0019254
neu1,GO:0045329
neu2,GO:0045329
neu3,GO:0045329
neu4,GO:0045329
enosf1,GO:0009446
nudt15,GO:0009447
nudt15,GO:0009447
naga,GO:0032920
cyp4f2,GO:0042426
fgf23,GO:0042053
il6,GO:0042416
mir218-1,GO:0042416
mir218-2,GO:0042416
mir29a,GO:0042416
mir29b1,GO:0042416
mir29b2,GO:0042416
slc30a10,GO:0042420
mir590,GO:0042420
akt1,GO:0045964
apoe,GO:0045964
mtor,GO:0045964
mlxipl,GO:0045964
hsd17b13,GO:0045964
ccl5,GO:0006663
bmp4,GO:0006656
f2,GO:0006656
f2r,GO:0006656
serpinf2,GO:0006656
tgfb1,GO:0006656
tgfb1,GO:0006656
tgfb3,GO:0006656
vim,GO:0006656
rgcc,GO:0006656
wnt4,GO:0006656
larp6,GO:0006656
creb3l1,GO:0006656
adgrb1,GO:0034638
cyba,GO:0034638
rab27a,GO:0034638
mir24-1,GO:0034638
mir24-2,GO:0034638
ankrd13c,GO:0036151
mitf,GO:0006666
med1,GO:0006666
ncoa3,GO:0006666
c3,GO:0006670
pdk4,GO:0006671
stc2,GO:0046520
cyp7a1,GO:0006023
fgfr4,GO:0006023
dgkq,GO:0006026
fbp1,GO:0006026
ppara,GO:0006030
pparg,GO:0006030
nr1d1,GO:0006030
pf4,GO:0030203
ar,GO:0030309
tmeff2,GO:0030309
edn1,GO:0006749
gstp1,GO:0006749
selenos,GO:0006749
fcn3,GO:0006465
mpv17l,GO:0016486
mir30c1,GO:0031179
mir30c2,GO:0031179
plek,GO:0035498
snai2,GO:0043043
snai1,GO:0043043
apoc1,GO:0043171
apoc3,GO:0043171
brca1,GO:0043171
erlin1,GO:0043171
erlin2,GO:0043171
mir30c1,GO:0043171
mir30c2,GO:0043171
gck,GO:0050435
mst1,GO:0050435
c1qtnf3,GO:0050435
pgp,GO:0050435
prox1,GO:0061684
fgf19,GO:0061684
nr1h4,GO:0061684
slc27a1,GO:1901748
mir30c1,GO:1901748
mir30c2,GO:1901748
akr1c3,GO:0000096
mir21,GO:0008652
bmp2,GO:0009063
bmp5,GO:0009063
wnt4,GO:0009063
cyp27b1,GO:0009072
gfi1,GO:0009072
nfkb1,GO:0009072
apoe,GO:0009081
sod1,GO:0009081
erlin1,GO:0009081
erlin2,GO:0009081
igf1,GO:0009448
edn1,GO:0043038
hdac1,GO:0043038
hdac2,GO:0043038
hif1a,GO:0043038
hoxa5,GO:0043038
hdac6,GO:0043038
nr1h3,GO:0043038
ciita,GO:1901605
nlrc5,GO:1901605
nlrp12,GO:1901605
ifnl1,GO:1901605
xbp1,GO:0000053
sirt1,GO:0000053
akt1,GO:0006600
akt2,GO:0006600
gck,GO:0006600
igf1,GO:0006600
ins,GO:0006600
insr,GO:0006600
irs1,GO:0006600
pth,GO:0006600
dyrk2,GO:0006600
irs2,GO:0006600
ar,GO:0006658
tgfb2,GO:0006658
nox1,GO:0006658
areg,GO:0019471
csf2,GO:0019471
dhx9,GO:0019471
dna2,GO:0019471
egfr,GO:0019471
epo,GO:0019471
ereg,GO:0019471
fgf10,GO:0019471
gli1,GO:0019471
gli2,GO:0019471
hras,GO:0019471
